"repo_name","language","qtd_stars","qtd_issues","qtd_pull_requests","repo_url","travis_url","ci","repo_id_travis","coverage","builds_activity","time_to_fix_broken_builds","build_health","analysis_point","forked","size","created","qtd_issues_in_period","qtd_pull_request_in_period","ci_service","analysis_init","analysis_finish","cov_service","qtd_merge_conflicts","qty_bugs_period","analysis_point_days","analysis_releases","analysis_issues","analysis_prs","qty_issues_period","qty_bugs"
"JaidedAI/EasyOCR","Python",12026,359,5,"https://github.com/JaidedAI/EasyOCR",NULL,False,NULL,NULL,NULL,NULL,NULL,"2020-10-12 08:46:39-03",False,144407,"2020-03-14 08:46:39-03",0,0,NULL,"2020-10-01 00:00:00-03","2021-11-01 00:00:00-03",NULL,NULL,0,212,11,416,37,309,4
"j3ssie/Osmedeus","Python",3152,173,8,"https://github.com/j3ssie/Osmedeus",NULL,False,NULL,NULL,NULL,NULL,NULL,"2019-06-10 01:17:18-03",False,32879,"2018-11-10 01:17:18-03",0,0,NULL,"2019-06-01 00:00:00-03","2020-07-01 00:00:00-03",NULL,NULL,4,212,5,179,32,130,4
"rasbt/mlxtend","Python",3559,372,1,"https://github.com/rasbt/mlxtend","https://api.travis-ci.org/repos/rasbt/mlxtend",True,"3429769","90.680405","0.18181818181818182","1642493.0","0.17921146953405018","2019-11-13 16:44:20-03",False,79051,"2014-08-13 22:56:16-03",0,0,"Travis CI","2019-11-01 00:00:00-03","2020-12-01 00:00:00-03","COVERALLS",NULL,8,1917,4,161,71,145,43
"variadico/noti","Go",3638,93,5,"https://github.com/variadico/noti","https://api.travis-ci.org/repos/variadico/noti",True,"6613678","53.721684","0.08860759493670886","1281772.0","0.5039370078740157","2016-04-02 09:00:32-03",False,97286,"2015-04-04 16:44:49-03",0,0,"Travis CI","2016-04-01 00:00:00-03","2017-05-01 00:00:00-03","COVERALLS",NULL,2,363,6,33,9,31,12
"nats-io/nats-server","Go",9576,740,0,"https://github.com/nats-io/nats-server","https://api.travis-ci.org/repos/nats-io/nats-server",True,"1435536","87.87644499999999","0.10886075949367088","35356.0","0.17174515235457063","2020-06-09 18:28:43-03",False,19365,"2012-10-29 13:12:24-03",0,0,"Travis CI","2020-06-01 00:00:00-03","2021-07-01 00:00:00-03","COVERALLS",NULL,76,2780,11,747,578,877,294
"minishift/minishift","Go",2195,3538,1201,"https://github.com/minishift/minishift","https://api.travis-ci.org/repos/minishift/minishift",True,"9291268","71.662159","0.12121212121212122","520741.0","0.0875","2019-04-22 23:52:47-03",False,177519,"2016-07-06 11:37:20-03",3538,1164,"Travis CI","2019-04-01 00:00:00-03","2020-05-01 00:00:00-03","COVERALLS",23,6,1020,3,211,38,218,718
"lmcinnes/umap","Python",4847,212,50,"https://github.com/lmcinnes/umap","https://api.travis-ci.org/repos/lmcinnes/umap",True,"14158352","88.50925","0.10178117048346055","1728669.0","0.11363636363636363","2021-02-12 19:59:38-03",False,53946,"2017-07-01 22:11:17-03",392,50,"Travis CI","2021-02-01 00:00:00-03","2022-03-01 00:00:00-03","COVERALLS",NULL,0,1321,2,150,41,157,6
"danvk/source-map-explorer","TypeScript",3254,109,28,"https://github.com/danvk/source-map-explorer","https://api.travis-ci.org/repos/danvk/source-map-explorer",True,"6256947","97.88732","0.21717171717171718","1469466.5","0.16666666666666666","2019-04-28 10:27:19-03",False,22612,"2015-10-15 19:40:17-03",0,0,"Travis CI","2019-04-01 00:00:00-03","2020-05-01 00:00:00-03","COVERALLS",NULL,20,1290,14,75,39,81,26
"marcosgriselli/ViewAnimator","Swift",6315,47,14,"https://github.com/marcosgriselli/ViewAnimator",NULL,False,NULL,NULL,NULL,NULL,NULL,"2018-05-06 12:58:05-03",False,12303,"2017-10-06 12:58:05-03",0,0,NULL,"2018-05-01 00:00:00-03","2019-06-01 00:00:00-03",NULL,NULL,1,212,3,12,3,17,6
"zhaojun1998/zfile","Java",3344,231,2,"https://github.com/zhaojun1998/zfile",NULL,False,NULL,NULL,NULL,NULL,NULL,"2020-03-18 10:57:56-03",False,13227,"2019-08-19 10:57:56-03",0,0,NULL,"2020-03-01 00:00:00-03","2021-04-01 00:00:00-03",NULL,NULL,41,212,11,151,7,128,151
